,Volumen,Nombre,Hora,Fecha,Stocks
154,                      884.774                  ,                      ENAGAS                  ,                                                17:38                                        ,2018-11-09,"                      24,6000                  "
155,                      1.329.876                  ,                      ENDESA                  ,                                                17:38                                        ,2018-11-09,"                      19,8500                  "
156,                      996.773                  ,                      FERROVIAL                  ,                                                17:38                                        ,2018-11-09,"                      17,7950                  "
157,                      696.906                  ,                      GRIFOLS                  ,                                                17:38                                        ,2018-11-09,"                      26,1000                  "
158,                      1.376.457                  ,                      IAG                  ,                                                17:38                                        ,2018-11-09,"                      7,3800                  "
159,                      11.799.305                  ,                      IBERDROLA                  ,                                                17:38                                        ,2018-11-09,"                      6,5700                  "
160,                      2.429.298                  ,                      INDITEX                  ,                                                17:38                                        ,2018-11-09,"                      26,4200                  "
161,                      1.857.205                  ,                      INDRA A                  ,                                                17:38                                        ,2018-11-09,"                      8,5700                  "
162,                      463.327                  ,                      INM.COLONIAL                  ,                                                17:38                                        ,2018-11-09,"                      8,9100                  "
163,                      5.133.270                  ,                      MAPFRE                  ,                                                17:38                                        ,2018-11-09,"                      2,5480                  "
164,                      1.594.357                  ,                      MEDIASET                  ,                                                17:38                                        ,2018-11-09,"                      5,9420                  "
165,                      1.025.186                  ,                      MELIA HOTELS                  ,                                                17:38                                        ,2018-11-09,"                      8,3150                  "
166,                      670.066                  ,                      MERLIN PROP.                  ,                                                17:38                                        ,2018-11-09,"                      11,4150                  "
167,                      981.710                  ,                      NATURGY                  ,                                                17:38                                        ,2018-11-09,"                      23,1600                  "
168,                      1.153.813                  ,                      R.E.C.                  ,                                                17:38                                        ,2018-11-09,"                      19,2800                  "
169,                      4.617.009                  ,                      REPSOL                  ,                                                17:38                                        ,2018-11-09,"                      15,8500                  "
170,                      34.958.233                  ,                      SANTANDER                  ,                                                17:38                                        ,2018-11-09,"                      4,2390                  "
171,                      2.101.874                  ,                      SIEMENS GAM                  ,                                                17:38                                        ,2018-11-09,"                      12,2400                  "
172,                      201.435                  ,                      TECNICAS REU                  ,                                                17:38                                        ,2018-11-09,"                      22,4800                  "
173,                      13.045.880                  ,                      TELEFONICA                  ,                                                17:38                                        ,2018-11-09,"                      7,4690                  "
174,                      84.760                  ,                      VISCOFAN                  ,                                                17:38                                        ,2018-11-09,"                      52,4500                  "
175,                      167.223                  ,                      ACCIONA                  ,                                                17:38                                        ,2018-11-09,"                      80,9200                  "
176,                      2.648.010                  ,                      ACERINOX                  ,                                                17:38                                        ,2018-11-09,"                      9,3640                  "
177,                      592.455                  ,                      ACS                  ,                                                17:38                                        ,2018-11-09,"                      34,7400                  "
