,Volumen,Nombre,Hora,Fecha,Stocks
449,                      1.189.832                  ,                      EXPEDIA INC                  ,                                                21:19                                        ,2018-11-09,"                      124,490                  "
450,                      1.653.278                  ,                      EXPRESS SCR.                  ,                                                21:19                                        ,2018-11-09,"                      98,690                  "
451,                      12.811.126                  ,                      FACEBOOK INC                  ,                                                21:19                                        ,2018-11-09,"                      145,020                  "
452,                      3.026.937                  ,                      FASTENAL CO.                  ,                                                21:19                                        ,2018-11-09,"                      54,740                  "
453,                      1.318.521                  ,                      FISERV INC                  ,                                                21:19                                        ,2018-11-09,"                      80,075                  "
454,                      2.748.161                  ,                      GILEAD SCIEN                  ,                                                21:19                                        ,2018-11-09,"                      71,054                  "
455,                      806.700                  ,"                      HASBRO, INC.                  ",                                                21:19                                        ,2018-11-09,"                      97,260                  "
456,                      866.439                  ,                      HENRY SCHEIN                  ,                                                21:19                                        ,2018-11-09,"                      85,100                  "
457,                      1.790.501                  ,                      HOLOGIC INC                  ,                                                21:19                                        ,2018-11-09,"                      41,620                  "
458,                      668.192                  ,                      HUNT J B TRA                  ,                                                21:19                                        ,2018-11-09,"                      107,070                  "
459,                      248.374                  ,                      IDEXX LAB                  ,                                                21:19                                        ,2018-11-09,"                      206,810                  "
460,                      816.195                  ,                      ILLUMINA INC                  ,                                                21:19                                        ,2018-11-09,"                      330,110                  "
461,                      851.011                  ,                      INCYTE GENOM                  ,                                                21:19                                        ,2018-11-09,"                      66,100                  "
462,                      15.186.450                  ,                      INTEL CORP                  ,                                                21:19                                        ,2018-11-09,"                      48,120                  "
463,                      1.199.150                  ,                      INTUIT INC                  ,                                                21:19                                        ,2018-11-09,"                      221,820                  "
464,                      473.199                  ,                      INTUITIVE S.                  ,                                                21:19                                        ,2018-11-09,"                      533,720                  "
465,                      13.925.644                  ,"                      JD.COM, INC.                  ",                                                21:19                                        ,2018-11-09,"                      21,795                  "
466,                      983.167                  ,                      KLA-TENCOR                  ,                                                21:19                                        ,2018-11-09,"                      95,340                  "
467,                      4.046.033                  ,                      KRAFT HEINZ                  ,                                                21:19                                        ,2018-11-09,"                      54,060                  "
468,                      1.223.144                  ,                      LAM RESEARCH                  ,                                                21:19                                        ,2018-11-09,"                      148,180                  "
469,                      2.446.400                  ,                      LIBERTY GLO.                  ,                                                21:19                                        ,2018-11-09,"                      24,750                  "
470,                      1.558.351                  ,                      LIBERTY GLOB                  ,                                                21:19                                        ,2018-11-09,"                      25,340                  "
471,                      3.816.031                  ,                      LIBERTY INTE                  ,                                                21:19                                        ,2018-11-09,"                      24,600                  "
472,                      1.156.193                  ,                      MARRIOTT INT                  ,                                                21:19                                        ,2018-11-09,"                      117,020                  "
473,                      2.251.952                  ,                      MAXIM INTGED                  ,                                                21:19                                        ,2018-11-09,"                      52,010                  "
474,                      322.569                  ,                      MERCADOLIBRE                  ,                                                21:19                                        ,2018-11-09,"                      325,500                  "
475,                      3.149.589                  ,                      MICROCHIP                  ,                                                21:19                                        ,2018-11-09,"                      71,830                  "
476,                      20.019.339                  ,                      MICRON TECH.                  ,                                                21:19                                        ,2018-11-09,"                      39,090                  "
477,                      22.344.963                  ,                      MICROSOFT                  ,                                                21:19                                        ,2018-11-09,"                      109,700                  "
478,                      4.326.021                  ,                      MONDELEZ INT                  ,                                                21:19                                        ,2018-11-09,"                      44,315                  "
479,                      3.964.866                  ,                      MONSTER BEVE                  ,                                                21:19                                        ,2018-11-09,"                      56,970                  "
480,                      2.611.402                  ,                      MYLAN N.V.                  ,                                                21:19                                        ,2018-11-09,"                      36,930                  "
481,                      1.212.167                  ,                      NETEASE                  ,                                                21:19                                        ,2018-11-09,"                      221,910                  "
482,                      11.713.321                  ,                      NETFLIX INC.                  ,                                                21:19                                        ,2018-11-09,"                      304,083                  "
483,                      8.781.789                  ,                      NVIDIA CORP.                  ,                                                21:19                                        ,2018-11-09,"                      206,300                  "
484,                      2.474.522                  ,                      NXP SEMICON.                  ,                                                21:19                                        ,2018-11-09,"                      83,300                  "
485,                      575.751                  ,                      O'REILLY AUT                  ,                                                21:19                                        ,2018-11-09,"                      355,730                  "
486,                      881.723                  ,                      PACCAR INC.                  ,                                                21:19                                        ,2018-11-09,"                      58,535                  "
487,                      715.899                  ,                      PAYCHEX INC                  ,                                                21:19                                        ,2018-11-09,"                      68,890                  "
488,                      6.712.973                  ,                      PAYPAL HOLDI                  ,                                                21:19                                        ,2018-11-09,"                      86,560                  "
489,                      3.308.659                  ,"                      PEPSICO, INC                  ",                                                21:19                                        ,2018-11-09,"                      117,380                  "
490,                      16.701.643                  ,                      QUALCOMM INC                  ,                                                21:19                                        ,2018-11-09,"                      56,520                  "
491,                      389.373                  ,                      REGENERON PH                  ,                                                21:19                                        ,2018-11-09,"                      356,080                  "
492,                      1.251.859                  ,                      ROSS STORES                  ,                                                21:19                                        ,2018-11-09,"                      102,557                  "
493,                      5.858.249                  ,                      SEAGATE TECH                  ,                                                21:19                                        ,2018-11-09,"                      43,217                  "
494,                      1.211.372                  ,                      SHIRE PLC                  ,                                                21:19                                        ,2018-11-09,"                      180,270                  "
495,                      12.065.458                  ,                      SIRIUS XM HL                  ,                                                21:19                                        ,2018-11-09,"                      6,220                  "
